Run,Random_seed,Training_time,Validation_AUC,Test_AUC,Accuracy,Precision,Recall,F1_Score,FPR,TPR,Energy_pkg,Energy_ram,Time_elapsed
1,1722086977,36300.69,0.857,0.855,0.707,0.003,0.8,0.006,0.293,0.8,5426.71,833.2,78.065258724
2,1722087155,37782.05,0.872,0.867,0.752,0.003,0.8,0.007,0.248,0.8,5641.81,858.08,83.352021031
3,1722087341,38261.7,0.871,0.867,0.749,0.003,0.8,0.007,0.251,0.8,5138.81,803.44,69.010367658
4,1722087510,38192.33,0.876,0.868,0.748,0.003,0.8,0.007,0.252,0.8,5300.03,821.52,73.077440141
5,1722087683,39528.18,0.86,0.865,0.746,0.003,0.8,0.006,0.254,0.8,5382.42,840.65,74.201361839
6,1722087857,38326.02,0.861,0.854,0.705,0.003,0.8,0.006,0.295,0.8,5367.3,835.92,74.691766346
7,1722088032,37425.62,0.865,0.858,0.717,0.003,0.8,0.006,0.284,0.8,5386.57,840.77,76.205649634
8,1722088209,38937.63,0.854,0.862,0.722,0.003,0.8,0.006,0.279,0.8,5346.31,834.68,75.013297606
9,1722088384,37698.18,0.859,0.868,0.757,0.003,0.8,0.007,0.243,0.8,5483.3,851.58,78.414774294
10,1722088562,38578.93,0.853,0.863,0.733,0.003,0.8,0.006,0.268,0.8,5762.01,857.41,85.742395095
11,1722088748,38017.1,0.867,0.862,0.721,0.003,0.8,0.006,0.279,0.8,5078.76,801.48,67.773033079
12,1722088916,37887.04,0.861,0.849,0.703,0.003,0.8,0.006,0.297,0.8,5601.9,842.39,83.644898003
13,1722089100,37938.46,0.857,0.875,0.779,0.004,0.8,0.007,0.221,0.8,5680.88,852.48,85.219907118
14,1722089286,37700.19,0.864,0.864,0.738,0.003,0.8,0.006,0.263,0.8,5674.89,857.22,84.7408647
15,1722089471,35729.93,0.858,0.857,0.724,0.003,0.8,0.006,0.276,0.8,5369.62,822.21,76.867613106
16,1722089648,37195.06,0.857,0.844,0.689,0.003,0.8,0.005,0.311,0.8,5301.59,811.19,75.297095509
17,1722089823,37218.81,0.869,0.873,0.766,0.004,0.8,0.007,0.234,0.8,5363.79,836.57,74.960336609
18,1722089999,37664.42,0.861,0.869,0.751,0.003,0.8,0.007,0.249,0.8,5038.15,806.59,66.398899267
19,1722090165,36246.26,0.86,0.858,0.709,0.003,0.8,0.006,0.291,0.8,5379.25,829.8,76.273464958
20,1722090342,37295.81,0.866,0.858,0.721,0.003,0.8,0.006,0.279,0.8,5578.52,843.02,82.220082306
21,1722090525,37243.89,0.857,0.87,0.764,0.004,0.8,0.007,0.236,0.8,4999.7,793.96,65.26420722
22,1722090689,37548.62,0.865,0.857,0.703,0.003,0.8,0.006,0.297,0.8,5319.5,805.48,74.4887634
23,1722090865,35837.55,0.871,0.87,0.748,0.003,0.8,0.007,0.252,0.8,5182.93,805.5,71.078346817
24,1722091035,38131.73,0.865,0.858,0.711,0.003,0.8,0.006,0.289,0.8,5366.11,821.99,76.911232704
25,1722091214,37374.44,0.865,0.862,0.737,0.003,0.8,0.006,0.263,0.8,5230.03,816.68,71.08313388
26,1722091385,37190.54,0.859,0.856,0.721,0.003,0.8,0.006,0.279,0.8,5299.1,817.1,73.815670642
27,1722091559,38665.55,0.86,0.875,0.767,0.004,0.8,0.007,0.233,0.8,5532.15,833.4,80.81034514
28,1722091741,35479.0,0.866,0.877,0.767,0.004,0.8,0.007,0.233,0.8,5078.4,790.5,69.698046101
29,1722091911,38152.28,0.862,0.861,0.738,0.003,0.8,0.006,0.262,0.8,5453.78,834.39,78.029820374
30,1722092090,37850.07,0.864,0.866,0.742,0.003,0.8,0.006,0.259,0.8,5751.6,856.84,86.271873532
