Run,Random_seed,Training_time,Validation_AUC,Test_AUC,Accuracy,Precision,Recall,F1_Score,FPR,TPR,Energy_pkg,Energy_ram,Time_elapsed
1,1722092376,36569.46,0.863,0.864,0.737,0.003,0.8,0.006,0.263,0.8,4913.05,773.85,65.639246122
2,1722092541,36759.8,0.867,0.876,0.767,0.004,0.8,0.007,0.233,0.8,5166.27,805.32,72.167838148
3,1722092714,36399.92,0.872,0.861,0.724,0.003,0.8,0.006,0.277,0.8,4989.49,794.21,66.640003379
4,1722092882,37138.66,0.865,0.862,0.749,0.003,0.8,0.007,0.251,0.8,5222.78,814.07,73.713464157
5,1722093055,36771.06,0.874,0.858,0.721,0.003,0.8,0.006,0.279,0.8,5467.82,829.3,78.865021782
6,1722093235,36298.34,0.863,0.873,0.754,0.003,0.8,0.007,0.246,0.8,5163.72,808.16,71.781090421
7,1722093407,37410.37,0.861,0.869,0.752,0.003,0.8,0.007,0.248,0.8,5341.01,834.41,77.231360097
8,1722093583,35493.01,0.872,0.851,0.707,0.003,0.8,0.006,0.293,0.8,5148.21,806.71,71.074000387
9,1722093755,38092.2,0.859,0.867,0.758,0.003,0.8,0.007,0.242,0.8,5509.82,830.02,80.92429077
10,1722093937,37687.65,0.871,0.85,0.693,0.003,0.8,0.005,0.307,0.8,5446.23,820.22,79.542808116
11,1722094116,36036.14,0.862,0.868,0.756,0.003,0.8,0.007,0.244,0.8,5154.72,805.15,70.74657804
12,1722094289,37138.83,0.869,0.858,0.728,0.003,0.8,0.006,0.272,0.8,5242.25,818.38,73.062159776
13,1722094461,36838.24,0.863,0.859,0.72,0.003,0.8,0.006,0.28,0.8,5396.0,825.91,76.977642032
14,1722094637,37727.0,0.869,0.875,0.773,0.004,0.8,0.007,0.227,0.8,4980.09,799.73,65.921333178
15,1722094805,35743.09,0.859,0.853,0.705,0.003,0.8,0.006,0.295,0.8,5195.01,813.75,73.301435098
16,1722094978,35740.88,0.861,0.869,0.75,0.003,0.8,0.007,0.25,0.8,4968.7,791.03,66.026410973
17,1722095144,36822.7,0.858,0.861,0.727,0.003,0.8,0.006,0.273,0.8,5497.36,829.01,79.53095394
18,1722095324,37484.03,0.866,0.858,0.717,0.003,0.8,0.006,0.283,0.8,5411.27,832.34,78.48110267
19,1722095503,36088.49,0.88,0.86,0.718,0.003,0.8,0.006,0.282,0.8,5067.83,798.69,68.691980834
20,1722095671,36600.84,0.861,0.875,0.774,0.004,0.8,0.007,0.226,0.8,4802.71,775.09,61.577807444
21,1722095834,37195.0,0.862,0.863,0.751,0.003,0.8,0.007,0.249,0.8,5213.69,814.81,72.61852934
22,1722096007,37052.47,0.872,0.865,0.735,0.003,0.8,0.006,0.265,0.8,5076.61,807.47,68.795230201
23,1722096176,37052.13,0.865,0.864,0.739,0.003,0.8,0.006,0.261,0.8,5356.92,848.64,76.544664876
24,1722096352,36943.24,0.852,0.862,0.73,0.003,0.8,0.006,0.27,0.8,5154.66,811.58,71.552937303
25,1722096525,36237.24,0.854,0.865,0.74,0.003,0.8,0.006,0.26,0.8,5015.85,801.06,67.997877317
26,1722096693,37771.07,0.857,0.864,0.741,0.003,0.8,0.006,0.259,0.8,5117.04,792.82,70.371462688
27,1722096864,35325.98,0.857,0.863,0.738,0.003,0.8,0.006,0.262,0.8,5141.21,808.07,72.047605972
28,1722097037,36132.28,0.856,0.859,0.722,0.003,0.8,0.006,0.278,0.8,5114.71,805.04,71.604355103
29,1722097208,37257.44,0.869,0.869,0.749,0.003,0.8,0.007,0.251,0.8,5273.24,819.68,74.87213396
30,1722097383,37082.24,0.867,0.864,0.735,0.003,0.8,0.006,0.265,0.8,5050.59,803.43,67.668256927
