Run,Random_seed,Training_time,Validation_AUC,Test_AUC,Accuracy,Precision,Recall,F1_Score,FPR,TPR,Energy_pkg,Energy_ram,Time_elapsed
1,1722110698,36292.67,0.844,0.856,0.728,0.003,0.8,0.006,0.273,0.8,5026.1,779.38,71.880258729
2,1722110871,34349.19,0.853,0.852,0.684,0.003,0.8,0.005,0.316,0.8,5158.9,782.23,77.192152159
3,1722111048,34413.38,0.859,0.863,0.732,0.003,0.8,0.006,0.268,0.8,5056.52,787.8,74.435464015
4,1722111222,34768.11,0.853,0.848,0.699,0.003,0.8,0.005,0.301,0.8,4951.45,788.61,69.793205725
5,1722111394,34080.43,0.851,0.842,0.658,0.002,0.8,0.005,0.342,0.8,4920.92,766.27,69.615788806
6,1722111564,34875.14,0.85,0.853,0.726,0.003,0.8,0.006,0.274,0.8,5085.8,786.09,73.894318284
7,1722111737,34794.07,0.855,0.856,0.716,0.003,0.8,0.006,0.284,0.8,5081.78,785.35,73.047826801
8,1722111910,35240.32,0.857,0.853,0.691,0.003,0.8,0.005,0.309,0.8,5013.39,779.9,72.266110895
9,1722112084,34354.3,0.851,0.851,0.692,0.003,0.8,0.005,0.308,0.8,5314.24,794.56,80.778783581
10,1722112265,36000.0,0.863,0.852,0.708,0.003,0.8,0.006,0.292,0.8,4722.64,739.46,64.755619822
11,1722112430,33855.02,0.84,0.854,0.718,0.003,0.8,0.006,0.282,0.8,5175.33,796.47,76.240008689
12,1722112606,33601.84,0.844,0.857,0.713,0.003,0.8,0.006,0.287,0.8,4906.12,783.05,69.096515824
13,1722112774,34943.18,0.843,0.853,0.707,0.003,0.8,0.006,0.293,0.8,5051.21,787.91,73.077388311
14,1722112950,35765.37,0.847,0.845,0.67,0.003,0.8,0.005,0.33,0.8,4986.42,773.29,71.955982925
15,1722113121,33109.04,0.858,0.845,0.683,0.003,0.8,0.005,0.317,0.8,4751.6,756.42,65.073329275
16,1722113287,34650.68,0.861,0.854,0.71,0.003,0.8,0.006,0.29,0.8,4851.02,767.72,66.821225358
17,1722113454,36225.01,0.836,0.851,0.719,0.003,0.8,0.006,0.281,0.8,5529.32,819.46,87.62266129
18,1722113642,35188.8,0.864,0.852,0.697,0.003,0.8,0.005,0.303,0.8,4940.46,781.09,69.068381649
19,1722113811,35154.11,0.841,0.855,0.714,0.003,0.8,0.006,0.286,0.8,5121.75,770.64,76.813138054
20,1722113988,34352.05,0.856,0.848,0.695,0.003,0.8,0.005,0.305,0.8,4962.99,791.98,69.381553829
21,1722114157,34751.88,0.838,0.856,0.724,0.003,0.8,0.006,0.276,0.8,4615.8,741.07,61.835632288
22,1722114321,34428.41,0.846,0.846,0.703,0.003,0.8,0.006,0.297,0.8,4981.27,792.32,70.327864179
23,1722114490,34753.12,0.851,0.85,0.698,0.003,0.8,0.005,0.302,0.8,4816.83,770.08,65.278040836
24,1722114657,33667.16,0.862,0.85,0.69,0.003,0.8,0.005,0.31,0.8,5031.33,766.66,72.805464996
25,1722114830,35104.8,0.853,0.85,0.699,0.003,0.8,0.005,0.302,0.8,5123.64,796.04,74.771114334
26,1722115005,34940.14,0.851,0.849,0.685,0.003,0.8,0.005,0.315,0.8,4946.31,769.65,70.536614649
27,1722115175,35696.99,0.852,0.855,0.723,0.003,0.8,0.006,0.277,0.8,5075.8,793.46,72.060431357
28,1722115348,35290.11,0.842,0.845,0.692,0.003,0.8,0.005,0.308,0.8,4583.48,725.58,60.123950566
29,1722115509,34105.29,0.844,0.851,0.719,0.003,0.8,0.006,0.281,0.8,4902.17,765.46,68.572265196
30,1722115678,35075.45,0.85,0.843,0.665,0.002,0.8,0.005,0.335,0.8,4667.92,734.97,61.850288317
