Run,Random_seed,Training_time,Validation_AUC,Test_AUC,Accuracy,Precision,Recall,F1_Score,FPR,TPR,Energy_pkg,Energy_ram,Time_elapsed
1,1722105425,34933.5,0.866,0.862,0.752,0.003,0.8,0.007,0.249,0.8,4699.06,743.84,61.29095089
2,1722105587,36226.75,0.846,0.86,0.747,0.003,0.8,0.007,0.253,0.8,5242.45,799.48,76.248684585
3,1722105762,35780.43,0.863,0.837,0.654,0.002,0.8,0.005,0.346,0.8,5292.49,803.12,79.384874781
4,1722105942,34694.28,0.862,0.856,0.71,0.003,0.8,0.006,0.29,0.8,5116.93,791.98,72.701360972
5,1722106114,33749.62,0.854,0.842,0.656,0.002,0.8,0.005,0.344,0.8,4726.08,738.97,63.364509125
6,1722106279,35303.62,0.856,0.865,0.758,0.003,0.8,0.007,0.242,0.8,4798.11,762.6,63.781056209
7,1722106444,34436.59,0.853,0.859,0.726,0.003,0.8,0.006,0.274,0.8,5108.5,784.77,73.530027186
8,1722106616,35445.79,0.844,0.862,0.73,0.003,0.8,0.006,0.27,0.8,5245.16,810.56,76.25303039
9,1722106793,34139.35,0.863,0.859,0.726,0.003,0.8,0.006,0.274,0.8,4922.18,767.89,68.970895715
10,1722106964,37220.33,0.861,0.859,0.722,0.003,0.8,0.006,0.278,0.8,5077.87,785.35,72.045831251
11,1722107135,35561.94,0.86,0.861,0.718,0.003,0.8,0.006,0.282,0.8,4766.61,756.28,64.316630418
12,1722107300,36629.82,0.857,0.843,0.668,0.002,0.8,0.005,0.332,0.8,5196.27,807.6,74.168158224
13,1722107474,35784.23,0.86,0.864,0.74,0.003,0.8,0.006,0.26,0.8,4704.08,748.9,61.63509097
14,1722107637,35494.57,0.852,0.858,0.707,0.003,0.8,0.006,0.293,0.8,5273.71,814.32,77.282656858
15,1722107815,37088.25,0.853,0.844,0.686,0.003,0.8,0.005,0.314,0.8,4882.95,769.64,67.178166567
16,1722107982,34829.4,0.85,0.857,0.721,0.003,0.8,0.006,0.279,0.8,5051.86,788.06,71.461131062
17,1722108154,36896.0,0.863,0.85,0.703,0.003,0.8,0.006,0.297,0.8,5292.38,809.72,77.853309563
18,1722108333,36121.63,0.855,0.857,0.716,0.003,0.8,0.006,0.284,0.8,5332.25,805.68,80.280814614
19,1722108513,35235.9,0.859,0.853,0.707,0.003,0.8,0.006,0.293,0.8,4895.78,771.19,68.423138081
20,1722108681,35461.34,0.846,0.861,0.719,0.003,0.8,0.006,0.281,0.8,5115.17,800.66,73.823547314
21,1722108856,35708.35,0.849,0.832,0.618,0.002,0.8,0.004,0.382,0.8,5040.31,775.49,72.094467019
22,1722109028,35613.63,0.844,0.852,0.726,0.003,0.8,0.006,0.274,0.8,5264.61,807.16,77.300920513
23,1722109205,35097.46,0.849,0.852,0.698,0.003,0.8,0.005,0.303,0.8,4950.03,776.61,68.084744442
24,1722109374,36808.74,0.845,0.854,0.711,0.003,0.8,0.006,0.289,0.8,5146.99,797.09,73.951841728
25,1722109549,34846.4,0.863,0.848,0.695,0.003,0.8,0.005,0.305,0.8,4863.99,761.44,67.464015472
26,1722109716,36563.94,0.856,0.847,0.695,0.003,0.8,0.005,0.306,0.8,5141.0,787.99,74.593264847
27,1722109891,37632.88,0.856,0.858,0.722,0.003,0.8,0.006,0.278,0.8,5451.8,824.46,82.191464053
28,1722110073,35033.3,0.852,0.852,0.699,0.003,0.8,0.005,0.301,0.8,4849.86,755.59,66.641496204
29,1722110241,35183.54,0.847,0.854,0.711,0.003,0.8,0.006,0.289,0.8,5155.72,798.15,74.048708371
30,1722110414,35427.97,0.853,0.855,0.698,0.003,0.8,0.005,0.302,0.8,4905.67,767.49,67.713453477
